O*NET-SOC Code	Related O*NET-SOC Code	Index
11-3131.00	11-2021.00	4
11-3131.00	11-3061.00	5
11-3131.00	11-2031.00	6
11-3131.00	11-9033.00	7
11-3131.00	11-9151.00	8
11-3131.00	43-1011.00	9
11-3131.00	11-3071.03	10
11-9013.01	11-9013.03	1
11-9013.01	19-4093.00	2
11-9013.01	11-3051.00	3
11-9013.01	45-4011.00	4
11-9013.01	53-1031.00	5
11-9013.01	33-1021.02	6
11-9013.01	11-1021.00	7
11-9013.01	37-1012.00	8
11-9013.01	45-2011.00	9
11-9013.01	19-1031.01	10
11-9013.03	45-1011.06	1
11-9013.03	19-1031.01	2
11-9013.03	19-2043.00	3
11-9013.03	19-1012.00	4
11-9013.03	29-9011.00	5
11-9013.03	19-1031.02	6
11-9013.03	11-9013.01	7
11-9013.03	19-4091.00	8
11-9013.03	17-2121.01	9
11-9013.03	45-1011.08	10
11-9021.00	17-2199.03	1
11-9021.00	17-2111.02	2
11-9021.00	17-2051.00	3
11-9021.00	29-9011.00	4
11-9021.00	17-2051.01	5
11-9021.00	19-1031.01	6
11-9021.00	17-2081.00	7
11-9021.00	11-9041.00	8
11-9021.00	11-3071.03	9
11-9021.00	11-1021.00	10
11-9031.00	21-2021.00	1
11-9031.00	11-3121.00	2
11-9031.00	21-1011.00	3
11-9031.00	39-9032.00	4
11-9031.00	43-4051.03	5
11-9031.00	25-2054.00	6
11-9031.00	21-1091.00	7
11-9031.00	43-1011.00	8
11-9031.00	25-2053.00	9
11-9031.00	41-1012.00	10
11-9032.00	25-9031.00	1
11-9032.00	11-9033.00	2
11-9032.00	11-9151.00	3
11-9032.00	21-2011.00	4
11-9032.00	11-3131.00	5
11-9032.00	29-1031.00	6
11-9032.00	25-1192.00	7
11-9032.00	25-1111.00	8
11-9032.00	11-3121.00	9
11-9032.00	11-9031.00	10
11-9033.00	11-3121.00	1
11-9033.00	25-9031.00	2
11-9033.00	11-9032.00	3
11-9033.00	25-1113.00	4
11-9033.00	11-3131.00	5
11-9033.00	25-1082.00	6
11-9033.00	21-2011.00	7
11-9033.00	13-1151.00	8
11-9033.00	25-1081.00	9
11-9033.00	21-1012.00	10
11-9041.00	17-1011.00	1
11-9041.00	17-2199.03	2
11-9041.00	17-2051.01	3
11-9041.00	17-2111.02	4
11-9041.00	17-2051.00	5
11-9041.00	25-1032.00	6
11-9041.00	13-1081.01	7
11-9041.00	17-2121.02	8
11-9041.00	11-9021.00	9
11-9041.00	17-2112.00	10
11-9051.00	35-1011.00	1
11-9051.00	53-1031.00	2
11-9051.00	53-1021.00	3
11-9051.00	11-1021.00	4
11-9051.00	11-9081.00	5
11-9051.00	11-3051.00	6
11-9051.00	39-1021.00	7
11-9051.00	35-1012.00	8
11-9051.00	41-1011.00	9
11-9051.00	37-1011.00	10
11-9071.00	43-1011.00	1
11-9071.00	11-3011.00	2
11-9071.00	39-1011.00	3
11-9071.00	11-1021.00	4
11-9071.00	41-1011.00	5
11-9071.00	39-9041.00	6
11-9071.00	11-9081.00	7
11-9071.00	39-1021.00	8
11-9071.00	53-1031.00	9
11-9071.00	41-1012.00	10
11-9081.00	11-1021.00	1
11-9081.00	43-1011.00	2
11-9081.00	53-1031.00	3
11-9081.00	11-9071.00	4
11-9081.00	11-9051.00	5
11-9081.00	11-3011.00	6
11-9081.00	11-3071.03	7
11-9081.00	39-1021.00	8
11-9081.00	41-1012.00	9
11-9081.00	39-9041.00	10
11-9111.00	11-9032.00	1
11-9111.00	29-1031.00	2
11-9111.00	11-9151.00	3
11-9111.00	11-9033.00	4
11-9111.00	11-1011.00	5
11-9111.00	11-3121.00	6
11-9111.00	25-9031.00	7
11-9111.00	11-3131.00	8
11-9111.00	11-3061.00	9
11-9111.00	13-1111.00	10
11-9121.00	19-1020.01	1
11-9121.00	19-2041.00	2
11-9121.00	19-2032.00	3
11-9121.00	25-1052.00	4
11-9121.00	19-2099.01	5
11-9121.00	19-1023.00	6
11-9121.00	19-1011.00	7
11-9121.00	19-1013.00	8
11-9121.00	25-1043.00	9
11-9121.00	19-1031.01	10
11-9121.01	11-9199.01	1
11-9121.01	13-1041.07	2
11-9121.01	13-2011.02	3
11-9121.01	15-2041.02	4
11-9121.01	13-2099.04	5
11-9121.01	13-1111.00	6
11-9121.01	13-1151.00	7
11-9121.01	13-1071.00	8
11-9121.01	19-4061.00	9
11-9121.01	43-4051.03	10
11-9131.00	43-1011.00	1
11-9131.00	11-3011.00	2
11-9131.00	53-1031.00	3
11-9131.00	11-1021.00	4
11-9131.00	53-1021.00	5
11-9131.00	39-9041.00	6
11-9131.00	39-1021.00	7
11-9131.00	11-9081.00	8
11-9131.00	13-1022.00	9
11-9131.00	11-3071.01	10
11-9141.00	11-3011.00	1
11-9141.00	41-9021.00	2
11-9141.00	13-1022.00	3
11-9141.00	13-2072.00	4
11-9141.00	43-3061.00	5
11-9141.00	41-9022.00	6
11-9141.00	43-1011.00	7
11-9141.00	39-7012.00	8
11-9141.00	41-3011.00	9
11-9141.00	13-2021.01	10
11-9151.00	11-3121.00	1
11-9151.00	11-9111.00	2
11-9151.00	11-9032.00	3
11-9151.00	11-3131.00	4
11-9151.00	21-2011.00	5
11-9151.00	11-9033.00	6
11-9151.00	11-9031.00	7
11-9151.00	13-1151.00	8
11-9151.00	11-9161.00	9
11-9151.00	21-1021.00	10
11-9161.00	29-9011.00	1
11-9161.00	25-2032.00	2
11-9161.00	19-1031.01	3
11-9161.00	17-2111.01	4
11-9161.00	33-1012.00	5
11-9161.00	11-3071.03	6
11-9161.00	11-9151.00	7
11-9161.00	11-3071.01	8
11-9161.00	11-1021.00	9
11-9161.00	11-3131.00	10
11-9199.01	13-1041.07	1
11-9199.01	11-9121.01	2
11-9199.01	13-1111.00	3
11-9199.01	13-1071.00	4
11-9199.01	13-1151.00	5
11-9199.01	13-2011.02	6
11-9199.01	11-3071.01	7
11-9199.01	13-2099.04	8
11-9199.01	11-3121.00	9
11-9199.01	11-3111.00	10
11-9199.04	11-3071.03	1
11-9199.04	11-3071.01	2
11-9199.04	11-3061.00	3
11-9199.04	13-1023.00	4
11-9199.04	13-1081.02	5
11-9199.04	13-2099.02	6
11-9199.04	13-2011.02	7
11-9199.04	13-1081.00	8
11-9199.04	41-1012.00	9
11-9199.04	11-3071.02	10
13-1011.00	27-3031.00	1
13-1011.00	11-2011.00	2
13-1011.00	41-3021.00	3
13-1011.00	11-2031.00	4
13-1011.00	27-3043.04	5
13-1011.00	27-2012.04	6
13-1011.00	13-1071.00	7
13-1011.00	41-3031.02	8
13-1011.00	11-2021.00	9
13-1011.00	13-1121.00	10
13-1021.00	13-1022.00	1
13-1021.00	11-3011.00	2
13-1021.00	41-9021.00	3
13-1021.00	13-1199.03	4
13-1021.00	43-3061.00	5
13-1021.00	13-1031.02	6
13-1021.00	41-9022.00	7
13-1021.00	53-1021.00	8
13-1021.00	11-1021.00	9
13-1021.00	45-2011.00	10
13-1022.00	11-3011.00	1
13-1022.00	13-1021.00	2
13-1022.00	11-9141.00	3
13-1022.00	11-1021.00	4
13-1022.00	43-1011.00	5
13-1022.00	43-3061.00	6
13-1022.00	41-9021.00	7
13-1022.00	13-2072.00	8
13-1022.00	13-1199.03	9
13-1022.00	13-1023.00	10
13-1023.00	11-3061.00	1
13-1023.00	11-3071.03	2
13-1023.00	11-9199.04	3
13-1023.00	11-3071.01	4
13-1023.00	13-1081.02	5
13-1023.00	13-1081.00	6
13-1023.00	13-1051.00	7
13-1023.00	13-1111.00	8
13-1023.00	13-2099.02	9
13-1023.00	41-1012.00	10
13-1031.01	13-1031.02	1
13-1031.01	13-2099.04	2
13-1031.01	13-1041.03	3
13-1031.01	13-2081.00	4
13-1031.01	13-2053.00	5
13-1031.01	13-2041.00	6
13-1031.01	13-1071.00	7
13-1031.01	41-3031.02	8
13-1031.01	41-3021.00	9
13-1031.01	43-4131.00	10
13-1031.02	13-2021.01	1
13-1031.02	13-1031.01	2
13-1031.02	43-3061.00	3
13-1031.02	13-2081.00	4
13-1031.02	43-4011.00	5
13-1031.02	43-4131.00	6
13-1031.02	23-2011.00	7
13-1031.02	11-3011.00	8
13-1031.02	13-2072.00	9
13-1031.02	43-4061.00	10
13-1032.00	41-4012.00	1
13-1032.00	33-9021.00	2
13-1032.00	13-1031.02	3
13-1032.00	41-9021.00	4
13-1032.00	13-2021.01	5
13-1032.00	43-3061.00	6
13-1032.00	13-2021.02	7
13-1032.00	43-3021.02	8
13-1032.00	41-2022.00	9
13-1032.00	41-2031.00	10
13-1041.01	19-2041.00	1
13-1041.01	19-1031.01	2
13-1041.01	29-9011.00	3
13-1041.01	19-4091.00	4
13-1041.01	19-2043.00	5
13-1041.01	17-2111.03	6
13-1041.01	45-2011.00	7
13-1041.01	19-1031.02	8
13-1041.01	19-1032.00	9
13-1041.01	33-3031.00	10
13-1041.02	33-9031.00	1
13-1041.02	33-9011.00	2
