O*NET-SOC Code	Example	Commodity Code	Commodity Title
11-1011.00	10-key calculators	44101809	Desktop calculator
11-1011.00	Desktop computers	43211507	Desktop computers
11-1011.00	Laptop computers	43211503	Notebook computers
11-1011.00	Personal computers	43211508	Personal computers
11-1011.00	Personal digital assistants PDA	43211504	Personal digital assistant PDAs or organizers
11-1011.00	Smartphones	43191501	Mobile phones
11-1011.00	Universal serial bus USB flash drives	43201813	High capacity removable media drives
11-1011.03	10-key calculators	44101809	Desktop calculator
11-1011.03	Computer data input scanners	43211711	Scanners
11-1011.03	Desktop computers	43211507	Desktop computers
11-1011.03	Handheld computers	43211715	Portable data input terminals
11-1011.03	Laptop computers	43211503	Notebook computers
11-1011.03	Multi-line telephone systems	43191507	Special purpose telephones
11-1011.03	Personal computers	43211508	Personal computers
11-1011.03	Photocopying equipment	44101501	Photocopiers
11-1011.03	Smartphones	43191501	Mobile phones
11-1011.03	Video teleconferencing systems	45111902	Videoconferencing systems
11-1021.00	10-key calculators	44101809	Desktop calculator
11-1021.00	Cell phones	43191501	Mobile phones
11-1021.00	Computer scanners	43211711	Scanners
11-1021.00	Credit card processing machines	43211702	Magnetic stripe readers and encoders
11-1021.00	Desktop computers	43211507	Desktop computers
11-1021.00	Digital cameras	45121504	Digital cameras
11-1021.00	Handtrucks	24101504	Hand trucks or accessories
11-1021.00	Humidity test chambers	41103418	Temperature and humidity walk in environmental chamber
11-1021.00	Laptop computers	43211503	Notebook computers
11-1021.00	Magnetic card readers	43211702	Magnetic stripe readers and encoders
11-1021.00	Personal computers	43211508	Personal computers
11-1021.00	Personal digital assistants PDA	43211504	Personal digital assistant PDAs or organizers
11-1021.00	Photocopying equipment	44101501	Photocopiers
11-1021.00	Point of sale POS systems	43211505	Point of sale POS terminal
11-1021.00	Profilometers	41114508	Surface testers
11-1021.00	Spectrometers	41115403	Spectrometers
11-1021.00	Surveillance cameras	46171610	Security cameras
11-1021.00	Vacuum test chambers	41103305	High vacuum equipment
11-1031.00	Computer laser printers	43212105	Laser printers
11-1031.00	Laptop computers	43211503	Notebook computers
11-1031.00	Tablet computers	43211509	Tablet computers
11-1031.00	Wireless desktop printers	43212105	Laser printers
11-2011.00	Desktop computers	43211507	Desktop computers
11-2011.00	Notebook computers	43211503	Notebook computers
11-2011.00	Personal computers	43211508	Personal computers
11-2011.00	Personal digital assistants PDA	43211504	Personal digital assistant PDAs or organizers
11-2011.00	Scanners	43211711	Scanners
11-2011.00	Tablet computers	43211509	Tablet computers
11-2011.01	Computer data input scanners	43211711	Scanners
11-2011.01	Desktop computers	43211507	Desktop computers
11-2011.01	Handheld computers	43211715	Portable data input terminals
11-2011.01	Laptop computers	43211503	Notebook computers
11-2011.01	Laser facsimile machines	44101508	Laser fax machine
11-2011.01	Multi-line telephone systems	43191507	Special purpose telephones
11-2011.01	Personal computers	43211508	Personal computers
11-2011.01	Photocopying equipment	44101501	Photocopiers
11-2021.00	Desktop computers	43211507	Desktop computers
11-2021.00	Laser facsimile machines	44101508	Laser fax machine
11-2021.00	Notebook computers	43211503	Notebook computers
11-2021.00	Personal computers	43211508	Personal computers
11-2021.00	Personal digital assistants PDA	43211504	Personal digital assistant PDAs or organizers
11-2021.00	Photocopiers	44101501	Photocopiers
11-2021.00	Scanners	43211711	Scanners
11-2021.00	Tablet computers	43211509	Tablet computers
11-2022.00	Desktop computers	43211507	Desktop computers
11-2022.00	Notebook computers	43211503	Notebook computers
11-2022.00	Personal computers	43211508	Personal computers
11-2022.00	Scanners	43211711	Scanners
11-2022.00	Tablet computers	43211509	Tablet computers
11-2031.00	Computer scanners	43211711	Scanners
11-2031.00	Desktop computers	43211507	Desktop computers
11-2031.00	Laptop computers	43211503	Notebook computers
11-2031.00	Multi-line telephone systems	43191507	Special purpose telephones
11-2031.00	Personal computers	43211508	Personal computers
11-2031.00	Photocopying equipment	44101501	Photocopiers
11-3011.00	10-key calculators	44101809	Desktop calculator
11-3011.00	Desktop computers	43211507	Desktop computers
11-3011.00	Laptop computers	43211503	Notebook computers
11-3011.00	Laser facsimile machines	44101508	Laser fax machine
11-3011.00	Mobile phones	43191501	Mobile phones
11-3011.00	Multi-line telephone systems	43191507	Special purpose telephones
11-3011.00	Notebook computers	43211503	Notebook computers
11-3011.00	Personal computers	43211508	Personal computers
11-3011.00	Personal digital assistants PDA	43211504	Personal digital assistant PDAs or organizers
11-3011.00	Photocopying equipment	44101501	Photocopiers
11-3011.00	Scanners	43211711	Scanners
11-3011.00	Tablet computers	43211509	Tablet computers
11-3021.00	Access servers	43222625	Access servers
11-3021.00	Computer servers	43211501	Computer servers
11-3021.00	Computer tool kits	27113203	Computer tool kits
11-3021.00	File servers	43211501	Computer servers
11-3021.00	Industry standard architecture/peripheral component interconnect ISA/PCI cards	43201407	Peripheral controller cards
11-3021.00	Inkjet printers	43212104	Inkjet printers
11-3021.00	Internet Information Services IIS Servers	43211501	Computer servers
11-3021.00	Laser facsimile machines	44101508	Laser fax machine
11-3021.00	Laser printers	43212105	Laser printers
11-3021.00	Mainframe computers	43211512	Mainframe computers
11-3021.00	Mid-range computers	43211501	Computer servers
11-3021.00	Minicomputers	43211501	Computer servers
11-3021.00	Netware servers	43211501	Computer servers
11-3021.00	Network analyzers	41113711	Network analyzers
11-3021.00	Network interface cards NIC	43201404	Network interface cards
11-3021.00	Network routers	43222609	Network routers
11-3021.00	Network switches	43222612	Network switches
11-3021.00	Personal computers	43211508	Personal computers
11-3021.00	Photocopiers	44101501	Photocopiers
11-3021.00	Print servers	43201537	Print servers
11-3021.00	Punchdown tools	27111505	Punches or nail sets or drifts
11-3021.00	Robot automation tool	43222627	Integrated services digital network ISDN access devices
11-3021.00	Screwdrivers	27111701	Screwdrivers
11-3021.00	Storage servers	43211501	Computer servers
11-3021.00	Teleconferencing equipment	43221522	Teleconference equipment
11-3021.00	Web servers	43211501	Computer servers
11-3021.00	Workstations	43211502	High end computer servers
11-3031.01	10-key calculators	44101809	Desktop calculator
11-3031.01	Desktop computers	43211507	Desktop computers
11-3031.01	Notebook computers	43211503	Notebook computers
11-3031.01	Personal computers	43211508	Personal computers
11-3031.01	Personal digital assistants PDA	43211504	Personal digital assistant PDAs or organizers
11-3031.01	Tablet computers	43211509	Tablet computers
11-3031.02	10-key calculators	44101809	Desktop calculator
11-3031.02	Desktop computers	43211507	Desktop computers
11-3031.02	Notebook computers	43211503	Notebook computers
11-3031.02	Personal computers	43211508	Personal computers
11-3031.02	Personal digital assistants PDA	43211504	Personal digital assistant PDAs or organizers
11-3031.02	Scanners	43211711	Scanners
11-3031.02	Tablet computers	43211509	Tablet computers
11-3051.00	Desktop computers	43211507	Desktop computers
11-3051.00	Forklifts	24101603	Forklifts
11-3051.00	Notebook computers	43211503	Notebook computers
11-3051.00	Personal computers	43211508	Personal computers
11-3051.00	Personal digital assistants PDA	43211504	Personal digital assistant PDAs or organizers
11-3051.00	Scanners	43211711	Scanners
11-3051.00	Squares	27111803	Squares
11-3051.00	Tablet computers	43211509	Tablet computers
11-3051.00	Tape measures	27111801	Tape measures
11-3051.00	Taper gauges	41111648	Taper gauge
11-3051.00	Vernier calipers	41111621	Calipers
11-3051.01	Automated diluters	41121502	Laboratory diluters
11-3051.01	Automated microplate ELISA readers	41113037	Microplate readers
11-3051.01	Cellular assay equipment	41115819	Immunology analyzers
11-3051.01	Computer inkjet printers	43212104	Inkjet printers
11-3051.01	Electrophoresis equipment	41105307	Instrumentation for capillary electrophoresis
11-3051.01	Fourier transfer infrared FTIR spectrometers	41115408	Infrared spectrometers
11-3051.01	Gas chromatography equipment	41115703	Gas chromatographs
11-3051.01	Handheld data collectors	43211715	Portable data input terminals
11-3051.01	Infrared spectroscopic equipment	41115403	Spectrometers
11-3051.01	Laboratory analytical balances	41111517	Analytical balances
11-3051.01	Laboratory benchtop centrifuges	41103903	Benchtop centrifuges
11-3051.01	Laboratory extraction equipment	41104806	Extracting equipment for laboratories
11-3051.01	Laboratory moisture balances	41111513	Moisture balances
11-3051.01	Laptop computers	43211503	Notebook computers
11-3051.01	Liquid chromatography equipment	41115705	Liquid chromatographs
11-3051.01	Personal computers	43211508	Personal computers
11-3051.01	pH analyzers	41115603	pH meters
11-3051.01	Titrators	41115602	Titration equipment
11-3051.02	Dataloggers	43211715	Portable data input terminals
11-3051.02	Desktop computers	43211507	Desktop computers
11-3051.02	Diesel-powered generators	26111601	Diesel generators
11-3051.02	Forklifts	24101603	Forklifts
11-3051.02	Laptop computers	43211503	Notebook computers
11-3051.02	Large volume water pumps	40151510	Water pumps
11-3051.02	Material moving cranes	24101623	Tower cranes
11-3051.02	Mobile radios	43191510	Two way radios
11-3051.02	Multi-line telephone systems	43191507	Special purpose telephones
11-3051.02	Personal computers	43211508	Personal computers
11-3051.02	Programmable logic controllers PLC	32101628	Microcontrollers
11-3051.03	Air monitoring equipment	41104008	Air samplers or collectors
11-3051.03	Ball valves	40141607	Ball valves
11-3051.03	Belt conveyor systems	24101712	Belt conveyors
11-3051.03	Desktop computers	43211507	Desktop computers
11-3051.03	Dust and particulate respirators	46182002	Respirators
11-3051.03	Electric timing devices	46171603	Clock timers
11-3051.03	Emergency alarm systems	46171604	Alarm systems
11-3051.03	Fermentation processing vessels	41104301	Standard fermentation units
11-3051.03	Flow control valves FCV	40141609	Control valves
11-3051.03	Forklifts	24101603	Forklifts
11-3051.03	Gate butterfly valves	40141613	Gate valves
11-3051.03	Glass graduated cylinders	41121805	Laboratory graduated cylinders
11-3051.03	Gravity convection ovens	41104501	Laboratory mechanical convection ovens
11-3051.03	Hand sampling pumps	40151506	Hand pumps
11-3051.03	Hazardous material spill kits	47131905	Spill kits
11-3051.03	Mobile radios	43191510	Two way radios
11-3051.03	Moisture analyzers	41112304	Moisture meters
11-3051.03	Mole sieves	41105003	Test sieves
11-3051.03	Personal computers	43211508	Personal computers
11-3051.03	pH probes	41115603	pH meters
11-3051.03	Reaction flasks	41121804	Laboratory flasks
11-3051.03	Sample ports	41104015	Plant samples analysis equipment
11-3051.03	Self-contained breathing apparatus	46182004	Respiration air supplying self contained breathing apparatus or accessories
11-3051.03	Stop valves	40141611	Globe valves
11-3051.03	Throttle control valves TCV	40141609	Control valves
11-3051.04	Biomass boilers	40102001	Fire tube boilers
11-3051.04	Bubbling fluidized bed boilers	40102001	Fire tube boilers
11-3051.04	Circulating fluidized bed boilers	40102001	Fire tube boilers
11-3051.04	Cooling towers	40101703	Evaporative coolers
11-3051.04	Desktop computers	43211507	Desktop computers
11-3051.04	Heat recovery steam generators	26111608	Steam generators
11-3051.04	Laptop computers	43211503	Notebook computers
11-3051.04	Personal computers	43211508	Personal computers
11-3051.04	Radial stackers	24101708	Extendable conveyors
11-3051.04	Steam boilers	40102002	Water tube boiler
11-3051.04	Steam turbines	26101505	Steam engines
11-3051.04	Water samplers	41104007	Water samplers
11-3051.04	Wood feed systems	22101715	Batching plants or feeders
11-3051.05	Air samplers	41104008	Air samplers or collectors
11-3051.05	All terrain vehicles ATV	25101905	All terrain vehicles tracked or wheeled
11-3051.05	Combustible gas monitors	26131701	Combustible or hazardous gas detectors for power generators
11-3051.05	Desktop computers	43211507	Desktop computers
11-3051.05	Diesel reciprocating engine generator sets	26111601	Diesel generators
11-3051.05	Enclosed flares	26131608	Flare or vent stacks
11-3051.05	Gas leak detectors	46171613	Gas detectors
11-3051.05	Gas reciprocating engine generator sets	26111604	Gas generators
11-3051.05	Micro anemometers	41114401	Anemometers
11-3051.05	Multiple gas monitors	41113118	Multi gas monitors
11-3051.05	Notebook computers	43211503	Notebook computers
11-3051.05	Open flares	26131608	Flare or vent stacks
11-3051.05	Oxygen analyzers	41113110	Oxygen gas analyzers
11-3051.05	Personal computers	43211508	Personal computers
11-3051.05	Pressure gauges	41111927	Pressure sensors
11-3051.05	Pressure valves	40141604	Safety valves
11-3051.05	Utility trucks	25101507	Light trucks or sport utility vehicles
11-3051.06	Dam water flow controls	40142207	Water level regulator
11-3051.06	Desktop computers	43211507	Desktop computers
11-3051.06	Electrical circuit breakers	39121601	Circuit breakers
11-3051.06	Electrical switch gear	26131808	Substation load control switchgears
11-3051.06	Hydraulic power generation equipment	26111606	Hydraulic generators
11-3051.06	Hydroelectric power generator controls	26131803	Generator control or protection panels
11-3051.06	Impulse turbines	26101506	Turbine engines
11-3051.06	Laptop computers	43211503	Notebook computers
11-3051.06	Mobile radios	43191510	Two way radios
11-3051.06	Personal computers	43211508	Personal computers
11-3051.06	Power transformers	39121002	Power supply transformers
11-3051.06	Protective ear muffs	46181902	Ear muffs
11-3051.06	Protective respirators	46182002	Respirators
11-3051.06	Reaction turbines	26101506	Turbine engines
11-3051.06	Safety glasses	46181802	Safety glasses
11-3051.06	Turbine generators	26101506	Turbine engines
11-3061.00	10-key calculators	44101809	Desktop calculator
11-3061.00	Desktop computers	43211507	Desktop computers
11-3061.00	Personal computers	43211508	Personal computers
11-3071.01	Barcode scanners	43211701	Bar code reader equipment
11-3071.01	Barcoding labels	55121608	Bar code labels
11-3071.01	Desktop computers	43211507	Desktop computers
11-3071.01	Forklifts	24101603	Forklifts
11-3071.01	Laptop computers	43211503	Notebook computers
11-3071.01	Personal computers	43211508	Personal computers
11-3071.01	Personal digital assistants PDA	43211504	Personal digital assistant PDAs or organizers
11-3071.01	Radio frequency handheld terminals	43221721	Radio frequency data communication equipment
11-3071.01	Radio frequency identification RFID devices	43211710	Radio frequency identification devices
11-3071.01	Radio frequency truck-mounted terminals	43221721	Radio frequency data communication equipment
11-3071.01	Wireless communication and satellite positioning tools	43223209	Location based messaging service platforms
11-3071.02	Barcode scanners	43211701	Bar code reader equipment
11-3071.02	Barcoding labels	55121608	Bar code labels
11-3071.02	Cell phones	43191501	Mobile phones
11-3071.02	Desktop computers	43211507	Desktop computers
11-3071.02	Digital cameras	45121504	Digital cameras
11-3071.02	Forklifts	24101603	Forklifts
11-3071.02	Global positioning systems GPS	25173107	Vehicular global positioning system GPS
11-3071.02	Laptop computers	43211503	Notebook computers
11-3071.02	Pallet jacks	24101505	Pallet trucks
11-3071.02	Personal computers	43211508	Personal computers
11-3071.02	Personal digital assistants PDA	43211504	Personal digital assistant PDAs or organizers
11-3071.02	Radio frequency handheld terminals	43221721	Radio frequency data communication equipment
11-3071.02	Radio frequency identification RFID devices	43211710	Radio frequency identification devices
11-3071.02	Radio frequency truck-mounted terminals	43221721	Radio frequency data communication equipment
11-3071.02	Wireless communication and satellite positioning tools	43223209	Location based messaging service platforms
11-3071.03	Laser facsimile machines	44101508	Laser fax machine
11-3071.03	Multi-line telephone systems	43191507	Special purpose telephones
11-3071.03	Personal protective equipment	46181509	Hazardous material protective apparel
11-3071.03	Photocopiers	44101501	Photocopiers
11-3111.00	10-key calculators	44101809	Desktop calculator
11-3111.00	Desktop computers	43211507	Desktop computers
11-3111.00	Laptop computers	43211503	Notebook computers
11-3111.00	Liquid crystal display LCD video projectors	45111614	Liquid crystal display projector
11-3111.00	Notebook computers	43211503	Notebook computers
11-3111.00	Optical disk drives	43201811	Read write digital versatile disc DVD
11-3111.00	Personal computers	43211508	Personal computers
11-3111.00	Personal digital assistants PDA	43211504	Personal digital assistant PDAs or organizers
11-3111.00	Photocopying equipment	44101501	Photocopiers
11-3111.00	Scanners	43211711	Scanners
11-3111.00	Tablet computers	43211509	Tablet computers
11-3111.00	Universal serial bus USB flash drives	43201813	High capacity removable media drives
11-3121.00	Audio recording equipment	46171621	Surveillance video or audio recorders
11-3121.00	Desktop computers	43211507	Desktop computers
11-3121.00	Notebook computers	43211503	Notebook computers
11-3121.00	Personal computers	43211508	Personal computers
11-3121.00	Scanners	43211711	Scanners
11-3131.00	Desktop computers	43211507	Desktop computers
11-3131.00	Laptop computers	43211503	Notebook computers
11-3131.00	Liquid crystal display LCD video projectors	45111614	Liquid crystal display projector
11-3131.00	MP3 players	52161543	MP3 players or recorders
11-3131.00	Personal computers	43211508	Personal computers
11-3131.00	Universal serial bus USB flash drives	43201813	High capacity removable media drives
11-3131.00	Videoconferencing equipment	45111902	Videoconferencing systems
11-9013.01	Aerosol foggers	21101805	Fog or mist generators
11-9013.01	Backhoe attachments	22101713	Backhoe boom or boom sections
11-9013.01	Bar code readers	43211701	Bar code reader equipment
11-9013.01	Bench scales	41111507	Bench scales
11-9013.01	Carbon dioxide systems	21102303	Greenhouse ventilation equipment
11-9013.01	Chemical sprayers	21101801	Sprayers
11-9013.01	Chipping equipment	27112715	Power chippers
11-9013.01	Composting equipment	21101806	Composter
11-9013.01	Cordless power drills	27112703	Power drills
11-9013.01	Dew point meters	41112302	Psychrometers
11-9013.01	Drainage pumps	40151531	Dewatering pumps
11-9013.01	Drip emitters	21101511	Irrigation trickles
11-9013.01	Electric timing devices	46171603	Clock timers
11-9013.01	Extended pole pruners	27112007	Secateurs or pruning shears
11-9013.01	Extension ladders	30191501	Ladders
11-9013.01	Fertigation equipment	21102301	Greenhouse irrigation equipment
11-9013.01	Fertilizer injectors	21101804	Fertilizer spreaders or distributors
11-9013.01	Forklifts	24101603	Forklifts
11-9013.01	Fumigation equipment	21101801	Sprayers
11-9013.01	Grease guns	27112901	Grease guns
11-9013.01	Handsaws	27111508	Saws
11-9013.01	Humidifiers	21102303	Greenhouse ventilation equipment
11-9013.01	Humidity meters	41112301	Hygrometers
11-9013.01	Hydroponic equipment	21102302	Greenhouse pots
11-9013.01	Impact sprinklers	21101803	Water sprinklers
11-9013.01	Lawn edgers	27112015	Lawn scarifiers
11-9013.01	Lawn mowers	27112014	Lawnmowers
11-9013.01	Light evaluation meters	41115308	Lightmeters
11-9013.01	Line cutters	27112015	Lawn scarifiers
11-9013.01	Materials conveyors	24101712	Belt conveyors
11-9013.01	Mechanized tilling equipment	21101503	Cultivators
11-9013.01	Microsprinklers	21101803	Water sprinklers
11-9013.01	Mist control systems	21102301	Greenhouse irrigation equipment
11-9013.01	Mulch spreaders	27112907	Broadcast spreaders
11-9013.01	Multipurpose tractors	25101901	Agricultural tractors
11-9013.01	Overhead sprinklers	21101803	Water sprinklers
11-9013.01	Personal computers	43211508	Personal computers
11-9013.01	pH indicators	41115603	pH meters
11-9013.01	Pneumatic cutters	27112007	Secateurs or pruning shears
11-9013.01	Pneumatic pruners	27112007	Secateurs or pruning shears
11-9013.01	Pop-up sprinklers	21101803	Water sprinklers
11-9013.01	Portable air compressors	40151601	Air compressors
11-9013.01	Portable dataloggers	43211715	Portable data input terminals
11-9013.01	Power augers	41113909	Soil core sampling apparatus
11-9013.01	Power monitors	41113708	Power meters
11-9013.01	Powered trailers	25181701	Container trailers
11-9013.01	Pruning tools	27112007	Secateurs or pruning shears
11-9013.01	Radiant heaters	41102404	Laboratory heaters
11-9013.01	Security alarm systems	46171604	Alarm systems
11-9013.01	Skid steer machines	22101529	Skid steer loaders
11-9013.01	Soil electrical conductivity measurement devices	41115609	Conductivity meters
11-9013.01	Soil mixers	41103801	Laboratory mixers
11-9013.01	Soil pasteurizers	21102302	Greenhouse pots
11-9013.01	Soil thermometers	41112213	Handheld thermometer
11-9013.01	Sport utility vehicles SUVs	25101507	Light trucks or sport utility vehicles
11-9013.01	Steam sterilizers	42281508	Steam autoclaves or sterilizers
11-9013.01	Stereo light microscopes	41111703	Stereo or dissecting light microscopes
11-9013.01	Transplanting equipment	21101602	Transplanters
11-9013.01	Trenchers	22101508	Trenching machines
11-9013.01	Trickle irrigators	21101511	Irrigation trickles
11-9013.02	Adjustable widemouth pliers	27112107	Adjustable widemouth pliers
11-9013.02	Animal blood collection syringes	42121507	Veterinary injection or suction units or accessories
11-9013.02	Animal feeders	21101902	Animal husbandry equipment
11-9013.02	Animal transportation trailers	25181703	Livestock trailers
11-9013.02	Animal vaccination syringes	42121507	Veterinary injection or suction units or accessories
11-9013.02	Artificial insemination kits	21101902	Animal husbandry equipment
11-9013.02	Backhoes	22101509	Backhoes
11-9013.02	Belt conveyor systems	24101712	Belt conveyors
11-9013.02	Branding equipment	21101905	Livestock identification equipment
11-9013.02	Brush mowers	21101701	Mowers
11-9013.02	Chain saws	27112709	Power saws
11-9013.02	Circular saws	27112709	Power saws
11-9013.02	Claw hammers	27111618	Claw hammer
11-9013.02	Corn pickers	21101703	Harvesters
11-9013.02	Desktop computers	43211507	Desktop computers
11-9013.02	Dump trucks	25101601	Dump trucks
11-9013.02	Egg gathering equipment	21101906	Egg inspection or collecting equipment
11-9013.02	Extension ladders	30191501	Ladders
11-9013.02	Farm tractors	25101901	Agricultural tractors
11-9013.02	Farm trucks	25101507	Light trucks or sport utility vehicles
11-9013.02	Field cultivators	21101503	Cultivators
11-9013.02	Field watering systems	21101512	Irrigation overheads
11-9013.02	Four wheel drive 4WD trucks	25101507	Light trucks or sport utility vehicles
11-9013.02	Garden hoes	27112008	Hoes
11-9013.02	Gardening shovels	27112004	Shovels
11-9013.02	Global positioning system GPS receivers	52161518	Global positioning system GPS receiver
11-9013.02	Grain combines	21101704	Combine harvesters
11-9013.02	Grain drills	21101604	Seed drills
11-9013.02	Grain dryers	23201202	Air dryers
11-9013.02	Grain scales	41111509	Floor or platform scales
11-9013.02	Grease guns	27112901	Grease guns
11-9013.02	Handheld computers	43211715	Portable data input terminals
11-9013.02	Hay balers	21101702	Haymaking machinery
11-9013.02	Hay mowing machines	21101702	Haymaking machinery
11-9013.02	Hay trucks	25101611	Cargo trucks
11-9013.02	Laptop computers	43211503	Notebook computers
11-9013.02	Lawn mowers	27112014	Lawnmowers
11-9013.02	Livestock castration equipment	42121513	Veterinary castration instruments
11-9013.02	Manure spreaders	21101804	Fertilizer spreaders or distributors
11-9013.02	Milking equipment	21101901	Milking machines
11-9013.02	Mowing equipment	21101701	Mowers
11-9013.02	Oil dispensing cans	27112905	Oil can
11-9013.02	Personal computers	43211508	Personal computers
11-9013.02	Portable welding equipment	23271406	Spot welding machine
11-9013.02	Poultry incubators	21101903	Incubators or brooders for poultry
11-9013.02	Snow blowers	22101531	Snow blowers
11-9013.02	Snowplow attachments	22101710	Snowplow attachments
11-9013.02	Spray attachments	21101801	Sprayers
11-9013.02	Tablet computers	43211509	Tablet computers
11-9013.02	Weedeaters	21101504	Weeders
11-9013.03	Adjustable hand wrenches	27111707	Adjustable wrenches
11-9013.03	Aeration pumps	40151501	Air pumps
11-9013.03	Air compression equipment	40151601	Air compressors
11-9013.03	Aquaculture tanks	21111601	Marine hatchery equipment
11-9013.03	Biological filters	40161808	Biological filter media
11-9013.03	Cage nets	21111601	Marine hatchery equipment
11-9013.03	Centrifugal water pumps	40151503	Centrifugal pumps
11-9013.03	Claw hammers	27111618	Claw hammer
11-9013.03	Clockwork belt feeders	21111601	Marine hatchery equipment
11-9013.03	Cordless power drills	27112703	Power drills
11-9013.03	Digital flowmeters	41112501	Flowmeters
11-9013.03	Dip nets	21111504	Commercial fishing nets
11-9013.03	Fish collection nets	21111601	Marine hatchery equipment
11-9013.03	Fish counters	41111902	Electronic counters
11-9013.03	Fish crowders	21111601	Marine hatchery equipment
11-9013.03	Fish egg counters	21111601	Marine hatchery equipment
11-9013.03	Fish egg sorters	21111601	Marine hatchery equipment
11-9013.03	Fish feeders	21111601	Marine hatchery equipment
11-9013.03	Fish graders	21111601	Marine hatchery equipment
11-9013.03	Fish holding pens	10131601	Cages or its accessories
11-9013.03	Fish incubators	21111601	Marine hatchery equipment
11-9013.03	Fish transfer pumps	21111601	Marine hatchery equipment
11-9013.03	Fish traps	21111601	Marine hatchery equipment
11-9013.03	Fry nets	21111504	Commercial fishing nets
11-9013.03	Gas-powered generators	26111604	Gas generators
11-9013.03	Hacksaws	27111559	Hacksaw
11-9013.03	Handheld dissolved oxygen meters	41115611	Dissolved oxygen meters
11-9013.03	Laptop computers	43211503	Notebook computers
11-9013.03	Layout squares	27111803	Squares
11-9013.03	Multipurpose pliers	27112107	Adjustable widemouth pliers
11-9013.03	Multipurpose tractors	25101901	Agricultural tractors
11-9013.03	Ozone generators	47101541	Ozone water treatment equipment
11-9013.03	Personal computers	43211508	Personal computers
11-9013.03	pH probes	41115603	pH meters
11-9013.03	Phillips screwdrivers	27111701	Screwdrivers
11-9013.03	Pipe wrenches	27111749	Pipe wrench or stillson wrench
11-9013.03	Portable power saws	27112709	Power saws
11-9013.03	Power mowers	27112014	Lawnmowers
11-9013.03	Power nail guns	27112716	Power nail guns
11-9013.03	Power nail pullers	27131528	Pneumatic nail puller
11-9013.03	Propane torches	23271702	Blow torch
11-9013.03	Round metal files	27111930	Round file
11-9013.03	Safety gloves	46181504	Protective gloves
11-9013.03	Screen filters	40161502	Water filters
11-9013.03	Seine reels	21111502	Commercial fishing reels
11-9013.03	Straight screwdrivers	27111701	Screwdrivers
11-9013.03	Tanker trucks	25101610	Water trucks
11-9013.03	Temperature monitors	41112509	Air velocity and temperature monitors
11-9013.03	Tongue and groove pliers	27112112	Tongue and groove pliers
11-9013.03	Tubing cutters	23241610	Pipe or tube cutter
11-9013.03	Turbine water pumps	40151526	Turbine pumps
11-9013.03	Ultraviolet light UV water disinfection systems	47101517	Ultraviolet disinfection equipment
11-9013.03	Utility forklifts	24101603	Forklifts
11-9013.03	Utility knives	27111503	Utility knives
11-9013.03	Water filters	40161502	Water filters
11-9013.03	Water level monitors	41112504	Water meters
11-9013.03	Water test kits	41113319	Water analyzers
11-9013.03	Woodworking chisels	27111906	Wood chisels
11-9021.00	DroneDeploy	25201604	Aircraft guidance systems
11-9021.00	Fixed wing unmanned aerial vehicles UAV	25131801	Airships
11-9021.00	Gas detection sensors	46171613	Gas detectors
11-9021.00	Laptop computers	43211503	Notebook computers
11-9021.00	Large-format scanners	43211711	Scanners
11-9021.00	Laser imaging detection and ranging LIDAR systems	41115201	Radarbased surveillance systems
11-9021.00	Lasers	41115307	Lasers
11-9021.00	Levels	27111802	Levels
11-9021.00	Multi-rotor unmanned aerial vehicles UAV	25131801	Airships
11-9021.00	Personal computers	43211508	Personal computers
11-9021.00	Pocket personal computers PC	43211508	Personal computers
11-9021.00	RGB cameras	45121504	Digital cameras
11-9021.00	Thermal imaging cameras	45121522	Infrared camera
11-9021.00	Transit levels	41111938	Level sensors or transmitters
11-9031.00	Compact digital cameras	45121504	Digital cameras
11-9031.00	Computer laser printers	43212105	Laser printers
11-9031.00	Desktop computers	43211507	Desktop computers
11-9031.00	Emergency first aid kits	42172001	Emergency medical services first aid kits
11-9031.00	Laptop computers	43211503	Notebook computers
11-9031.00	Laser facsimile machines	44101508	Laser fax machine
11-9031.00	Multi-line telephone systems	43191507	Special purpose telephones
11-9031.00	Personal computers	43211508	Personal computers
11-9032.00	Desktop computers	43211507	Desktop computers
11-9032.00	Digital projectors	45111614	Liquid crystal display projector
11-9032.00	Fire alarm systems	46171604	Alarm systems
11-9032.00	Interactive whiteboards	43211903	Touch screen monitors
11-9032.00	Laptop computers	43211503	Notebook computers
11-9032.00	Multi-line telephone systems	43191507	Special purpose telephones
11-9032.00	Personal computers	43211508	Personal computers
11-9032.00	Photocopying equipment	44101501	Photocopiers
11-9032.00	Public address PA systems	45111705	Public address systems
11-9032.00	Security alarm systems	46171604	Alarm systems
11-9032.00	Two way radios	43191510	Two way radios
11-9033.00	Desktop computers	43211507	Desktop computers
11-9033.00	Laptop computers	43211503	Notebook computers
11-9033.00	Liquid crystal display LCD video projectors	45111614	Liquid crystal display projector
11-9033.00	Personal computers	43211508	Personal computers
11-9033.00	Universal serial bus USB flash drives	43201813	High capacity removable media drives
11-9039.01	Digital video disk DVD players	52161516	Digital video disk players or recorders
11-9039.01	Laptop computers	43211503	Notebook computers
11-9039.01	Laser facsimile machines	44101508	Laser fax machine
11-9039.01	Personal computers	43211508	Personal computers
11-9039.01	Teleconferencing equipment	43221522	Teleconference equipment
11-9039.01	Webinar equipment	45111902	Videoconferencing systems
